road_id,cell_id,n_cells,cell_fraction_center,truth_density,mean_density,abs_error
727,4,15,0.2333333333,0.3334285387,0.3334285387,0
727,5,15,0.3,0.3962721,0.3962721,0
727,6,15,0.3666666667,0.4360604397,0.4360604397,0
727,7,15,0.4333333333,0.4442325143,0.4442325143,0
727,8,15,0.5,0.4458614031,0.4458614031,0
727,9,15,0.5666666667,0.4518301602,0.4518301602,0
727,10,15,0.6333333333,0.481087614,0.481087614,0
727,11,15,0.7,0.6156380726,0.6156380726,0
727,12,15,0.7666666667,0.7059878845,0.7059878845,0
727,13,15,0.8333333333,0.7367507685,0.7367507685,0
727,14,15,0.9,0.7465592222,0.7465592222,0
727,15,15,0.9666666667,0.7544903563,0.7544903563,0
728,1,27,0.01851851852,0.1942559632,0.1942559632,0
728,2,27,0.05555555556,0.2069518226,0.2069518226,0
728,3,27,0.09259259259,0.2336018517,0.2336018517,0
728,4,27,0.1296296296,0.2628585225,0.2628585225,0
728,5,27,0.1666666667,0.280432801,0.280432801,0
728,6,27,0.2037037037,0.2844650617,0.2844650617,0
728,7,27,0.2407407407,0.2809544034,0.2809544034,0
728,8,27,0.2777777778,0.2750605121,0.2750605121,0
728,9,27,0.3148148148,0.269461405,0.269461405,0
728,10,27,0.3518518519,0.2653977675,0.2653977675,0
728,11,27,0.3888888889,0.2635012654,0.2635012654,0
728,12,27,0.4259259259,0.2641507617,0.2641507617,0
728,13,27,0.462962963,0.2675769264,0.2675769264,0
728,14,27,0.5,0.2738587725,0.2738587725,0
728,15,27,0.537037037,0.2828765627,0.2828765627,0
728,16,27,0.5740740741,0.2942550457,0.2942550457,0
728,17,27,0.6111111111,0.3073279068,0.3073279068,0
728,18,27,0.6481481481,0.3211574888,0.3211574888,0
728,19,27,0.6851851852,0.3346344208,0.3346344208,0
728,20,27,0.7222222222,0.3466488829,0.3466488829,0
728,21,27,0.7592592593,0.3562808242,0.3562808242,0
728,22,27,0.7962962963,0.3629358518,0.3629358518,0
728,23,27,0.8333333333,0.366381258,0.366381258,0
728,24,27,0.8703703704,0.3666920477,0.3666920477,0
728,25,27,0.9074074074,0.3641539287,0.3641539287,0
728,26,27,0.9444444444,0.3591689216,0.3591689216,0
728,27,27,0.9814814815,0.6023646175,0.6023646175,0
729,1,15,0.03333333333,0.1822414281,0.1822414281,0
729,2,15,0.1,0.1771328309,0.1771328309,0
729,3,15,0.1666666667,0.1750781209,0.1750781209,0
729,4,15,0.2333333333,0.176767379,0.176767379,0
729,5,15,0.3,0.1833512726,0.1833512726,0
729,6,15,0.3666666667,0.1979162777,0.1979162777,0
729,7,15,0.4333333333,0.2242735469,0.2242735469,0
729,8,15,0.5,0.2623537028,0.2623537028,0
729,9,15,0.5666666667,0.3052740459,0.3052740459,0
729,10,15,0.6333333333,0.3459177274,0.3459177274,0
729,11,15,0.7,0.3836411777,0.3836411777,0
729,12,15,0.7666666667,0.4161567843,0.4161567843,0
729,13,15,0.8333333333,0.4345046888,0.4345046888,0
729,14,15,0.9,0.4371586488,0.4371586488,0
729,15,15,0.9666666667,0.4309583036,0.4309583036,0
730,1,27,0.01851851852,0.3838511702,0.3838511702,0
